,District,Name of the Organisation/Contact Person ,Location,Contact number ,Verification  Status,Verification time,Availability Status
11,Paschim Bardhaman district,Dulal Sharma,Durgapur,9475958482,Verified,5/3/2021 14:48:17,Available
10,North 24 Parganas district (Uttar 24 Parganas),Barasat DH,,For admission call 1800313444222- Swasthya Bhawan  7607057313,Verified,5/3/2021 15:09:21,Available
4,Kolkata district,BMRC Hospital,B.T.Rd,18003455500,Call not answered,5/3/2021 19:52:45,Available
5,Kolkata district,Desun hospital,,9051715171,Call not answered,5/3/2021 19:52:50,Available
6,Kolkata district,,,18003455500,Call not answered,5/3/2021 19:53:54,Available
7,Kolkata district,R.N.Tagore hospital ,,8067506860,Verified,5/2/2021 19:02:19,Available
9,Kolkata South,KPC Hospital,Jadavpur, 033 6621 1713/098366 95101,Verified,5/3/2021 14:00:31,Available
8,Kolkata North,Shushrusha Nursing Home,Kankurgachi,033 2362-8863 / 033 2362-8430 / 9874410298,Verified,5/3/2021 13:30:08,Available
2,Kolkata Central,Shambhunath Pandit Hospital,Kolkata,033 2302 2820/ 1800313444222 (Swastha Bhawan),Phone not reachable,,Available
1,Kolkata Central,Kolkata Medical College,College Square,033 2255 1621/ 1800313444222 (Swastha Bhawan),Verified,5/4/2021 1:06:25,Available
0,Birbhum district,K.R. Nursing Home & Diagnostic Centre,Murarai,9733055768,Verified,5/3/2021 17:12:46,Available
